Dex Entries;;;;;;;;;;;;;;;;;;;
A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.;It can go for days without eating a single morsel. In the bulb on its back, it stores energy.;The bulb-like pouch on its back grows larger as it ages. The pouch is filled with numerous seeds.;The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.;It carries a seed on its back right from birth. As it grows older, the seed also grows larger.;While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.;There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.;For some time after its birth, it grows by gaining nourishment from the seed on its back.;;;;;;;;;;;
A team of researchers is scouring the oceans of the world in search of a Gastrodon in a color never seen before.;Experiments are being conducted to discover what happens when a Gastrodon is raised in a location other than the sea where it was born.;When it's attacked, it gushes a purple liquid that's not poisonous but makes Gastrodon's meat bitter and inedible.;A relative of <<0090shel>> and <<0091cloy>>, this ocean dweller sometimes comes onto land in search of food.;It secretes a purple fluid to deter enemies. This fluid isn't poisonous—instead, it's super sticky, and once it sticks, it's very hard to unstick.;Its body is covered in a sticky slime. It's very susceptible to dehydration, so it can't spend too much time on land.;It has a pliable body without any bones. If any part of its body is torn off, it grows right back.;It apparently had a huge shell for protection in ancient times. It lives in shallow tidal pools.;Long ago, its entire back was shielded with a sturdy shell. There are traces of it left in its cells.;Found more often on the land than in the sea. More active when it's cloudy or rainy out than when the weather is fair.;;;;;;;;;;
In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs.;;;;;;;;;;;;;;;;;;;
Hard of heart and deft of blade, this rare form of Samurott is a product of the Pokémon's evolution in the region of Hisui. Its turbulent blows crash into foes like ceaseless pounding waves.;;;;;;;;;;;;;;;;;;;
As soon as it finds a male to be its partner, the beautiful flower on its head darkens, droops, and withers away.;;;;;;;;;;;;;;;;;;;
I suspect that its well-developed legs are the result of a life spent on mountains covered in deep snow. The scent it exudes from its flower crown heartens those in proximity.;;;;;;;;;;;;;;;;;;;
Savage, violent Pokémon, red and blue Basculin are always fighting each other over territory.;When a school of Basculin appears in a lake, everything else disappears, except for <<0341corp>> and <<0342craw>>. That's how violent Basculin are.;Anglers love the fight this Pokémon puts up on the hook. And there are always more to catch— many people release them into lakes illicitly.;In the past, it often appeared on the dinner table. The meat of red-striped Basculin is on the fatty side, and it's more popular with the youth.;Red and blue Basculin get along so poorly, they'll start fighting instantly. These Pokémon are very hostile.;Red and blue Basculin usually do not get along, but sometimes members of one school mingle with the other's school.;Red- and blue-striped Basculin are very violent and always fighting. They are also remarkably tasty.;;;;;;;;;;;;;
Even Basculin, which devours everything it can with its huge jaws, is nothing more than food to organisms stronger than itself.;Some people call it 'the thug of the lake'. Whether the differences in color are meaningful is not yet known.;Blue-striped Basculin used to be a common food source. They apparently have an inoffensive, light flavor.;Known for their violence, these Pokémon have the most fights with schools of red-striped Basculin.;Red and blue Basculin get along so poorly, they'll start fighting instantly. These Pokémon are very hostile.;Red and blue Basculin usually do not get along, but sometimes members of one school mingle with the other's school.;Red- and blue-striped Basculin are very violent and always fighting. They are also remarkably tasty.;;;;;;;;;;;;;
Though it differs from other Basculin in several respects, including demeanor—this one is gentle—I have categorized it as a regional form given the vast array of shared qualities.;;;;;;;;;;;;;;;;;;;
When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep.;Darumaka's droppings are hot, so people used to put them in their clothes to keep themselves warm.;When it sleeps, it pulls its limbs into its body and its internal fire goes down to 1,100 degrees Fahrenheit.;It derives its power from fire burning inside its body. If the fire dwindles, this Pokémon will immediately fall asleep.;This popular symbol of good fortune will never fall over in its sleep, no matter how it's pushed or pulled.;;;;;;;;;;;;;;;
It lived in snowy areas for so long that its fire sac cooled off and atrophied. It now has an organ that generates cold instead.;The colder they get, the more energetic they are. They freeze their breath to make snowballs, using them as ammo for playful snowball fights.;;;;;;;;;;;;;;;;;;
The thick arms of this hot-blooded Pokémon can deliver punches capable of obliterating a dump truck.;This Pokémon's power level rises along with the temperature of its fire, which can reach 2,500 degrees Fahrenheit.;Its internal fire burns at 2,500 degrees Fahrenheit, making enough power that it can destroy a dump truck with one punch.;;;;;;;;;;;;;;;;;
Through meditation, it calms its raging spirit and hones its psychic powers.;When wounded, it stops moving. It goes as still as stone to meditate, sharpening its mind and spirit.;When weakened in battle, it transforms into a stone statue. Then it sharpens its mind and fights on mentally.;When one is injured in a fierce battle, it hardens into a stone-like form. Then it meditates and sharpens its mind.;;;;;;;;;;;;;;;;
On days when blizzards blow through, it comes down to where people live. It stashes food in the snowball on its head, taking it home for later.;Though it has a gentle disposition, it's also very strong. It will quickly freeze the snowball on its head before going for a headbutt.;;;;;;;;;;;;;;;;;;
Anger has reignited its atrophied flame sac. This Pokémon spews fire everywhere as it rampages indiscriminately.;Darmanitan takes this form when enraged. It won't stop spewing flames until its rage has settled, even if its body starts to melt.;;;;;;;;;;;;;;;;;;
Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.;These Pokémon arose from the spirits of people interred in graves. Each retains memories of its former life.;It wanders through ruins by night, carrying a mask that's said to have been the face it had when it was still human.;The spirit of a person from a bygone age became this Pokémon. It rambles through ruins, searching for someone who knows its face.;;;;;;;;;;;;;;;;
A clay slab with cursed engravings took possession of a Yamask. The slab is said to be absorbing the Yamask's dark power.;It's said that this Pokémon was formed when an ancient clay tablet was drawn to a vengeful spirit.;;;;;;;;;;;;;;;;;;
It changes so it looks just like its foe, tricks it, and then uses that opportunity to flee.;;;;;;;;;;;;;;;;;;;
A once-departed soul, returned to life in Hisui. Derives power from resentment, which rises as energy atop its head and takes on the forms of foes. In this way, Zorua vents lingering malice.;;;;;;;;;;;;;;;;;;;
Each has the ability to fool a large group of people simultaneously. They protect their lair with illusory scenery.;;;;;;;;;;;;;;;;;;;
With its disheveled white fur, it looks like an embodiment of death. Heedless of its own safety, Zoroark attacks its nemeses with a bitter energy so intense, it lacerates Zoroark's own body.;;;;;;;;;;;;;;;;;;;
